output_metric,parameter,standardized_coefficient,absolute_coefficient,rank_abs_coefficient,subsystem
hybrid_pfa,dual_outage_duration_min,-0.0032614177501404354,0.0032614177501404354,19,Mission outage
hybrid_minus_fdir_pd,pseudorange_noise_std_m,0.18606533528966152,0.18606533528966152,2,GNSS measurement
hybrid_minus_fdir_pd,accelerometer_noise_std_mps2,-0.010809439474234865,0.010809439474234865,19,Accelerometer
hybrid_minus_fdir_pd,accelerometer_bias_x_mps2,0.027260769985304165,0.027260769985304165,15,Accelerometer
hybrid_minus_fdir_pd,accelerometer_bias_y_mps2,-0.13226704363092023,0.13226704363092023,4,Accelerometer
hybrid_minus_fdir_pd,accelerometer_bias_z_mps2,0.07620574044524854,0.07620574044524854,8,Accelerometer
hybrid_minus_fdir_pd,gyro_noise_std_degps,-0.031686646567736766,0.031686646567736766,12,Gyroscope
hybrid_minus_fdir_pd,gyro_bias_x_degps,-0.09134349758484828,0.09134349758484828,6,Gyroscope
hybrid_minus_fdir_pd,gyro_bias_y_degps,0.02915188975855308,0.02915188975855308,14,Gyroscope
hybrid_minus_fdir_pd,gyro_bias_z_degps,0.007865672298907233,0.007865672298907233,21,Gyroscope
hybrid_minus_fdir_pd,star_tracker_noise_std_deg,-0.0253319270127794,0.0253319270127794,16,Star tracker
hybrid_minus_fdir_pd,initial_position_error_x_m,-0.05052162824361129,0.05052162824361129,10,Initial state
hybrid_minus_fdir_pd,initial_position_error_y_m,0.009761736242189236,0.009761736242189236,20,Initial state
hybrid_minus_fdir_pd,initial_position_error_z_m,0.011778612803440898,0.011778612803440898,18,Initial state
hybrid_minus_fdir_pd,initial_velocity_error_x_mps,-0.0646416205013022,0.0646416205013022,9,Initial state
hybrid_minus_fdir_pd,initial_velocity_error_y_mps,-0.029686544473686793,0.029686544473686793,13,Initial state
hybrid_minus_fdir_pd,initial_velocity_error_z_mps,0.12250993980960796,0.12250993980960796,5,Initial state
hybrid_minus_fdir_pd,non_gravitational_acceleration_mps2,0.017910292220018473,0.017910292220018473,17,Orbital disturbance
hybrid_minus_fdir_pd,fault_magnitude_m,0.27523457417302305,0.27523457417302305,1,GNSS fault
hybrid_minus_fdir_pd,fault_start_min,0.18590796550524732,0.18590796550524732,3,GNSS fault
hybrid_minus_fdir_pd,fault_duration_min,0.08442281899226033,0.08442281899226033,7,GNSS fault
hybrid_minus_fdir_pd,gnss_outage_duration_min,-0.003840487919639957,0.003840487919639957,22,Mission outage
hybrid_minus_fdir_pd,star_tracker_outage_duration_min,0.04335499208913762,0.04335499208913762,11,Mission outage
hybrid_minus_fdir_pd,dual_outage_duration_min,-0.001827789786086853,0.001827789786086853,23,Mission outage
