phase_name,initial_true_anomaly_deg,replicate_index,scenario_seed,altitude_km,inclination_deg,dual_outage_start_min,dual_outage_end_min,dual_outage_duration_min,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,pre_outage_satellites,pre_outage_pdop,pre_outage_update_age_s,healthy_false_alarm_rate,pre_outage_rmse_m,mission_rmse_m,outage_rmse_m,outage_start_error_m,outage_end_error_m,outage_start_sigma_m,outage_end_sigma_m,post_recovery_rmse_m,final_error_m,navigation_nis_mean,navigation_nis_coverage_percent,attitude_outage_rmse_deg,attitude_end_outage_deg
PHASE_270,270.0,5,170305,550.0,97.6,60.0,75.0,15.0,0.0,12,13.801234567901234,14,0.8801711466516784,10.0,1.4814814814814816,0.22671857438438991,0.3585189280833583,0.27580640629877584,0.11094699809379338,0.4912487489803997,0.42478805601133196,1.2103035121915258,0.41525072050073863,0.19229679144694664,2.944697902185213,94.81481481481482,0.07872449995200535,0.08603710341134727
PHASE_315,315.0,5,170305,550.0,97.6,60.0,75.0,15.0,0.0,12,13.74074074074074,16,0.7935420274836325,10.0,1.1111111111111112,0.5198715972070252,0.4295686496410899,0.44608513779143955,0.280791166629591,0.6607689186887703,0.4026391093491552,1.202235263698373,0.39954541514211145,0.34100579855106505,3.040897046317351,94.32098765432099,0.07872812561088256,0.08606297428959393
PHASE_000,0.0,6,170306,550.0,97.6,60.0,75.0,15.0,0.0,12,14.028395061728395,16,0.8251189331556954,10.0,1.3580246913580247,0.39862006824351,0.49100463586758736,0.5191852961904458,0.3312764010827816,0.6969313942571163,0.38970996983056644,1.1328506553433724,0.546715808367387,0.25436470904762537,3.0553343233662633,95.17923362175526,0.047069570033820694,0.054544562227203955
PHASE_045,45.0,6,170306,550.0,97.6,60.0,75.0,15.0,0.0,12,14.044444444444444,14,0.9178044117432004,10.0,0.7407407407407408,0.6657632996525445,0.8449820968195558,2.089215880393835,1.0715384632977645,3.2138520780590563,0.4441267026440336,1.3081666333600523,0.6042002731499911,0.19371081566200216,3.006823633360272,95.42079207920791,0.04701576766681818,0.05426583546317936
PHASE_090,90.0,6,170306,550.0,97.6,60.0,75.0,15.0,0.0,12,13.9679012345679,13,0.9737904491958052,10.0,0.8641975308641975,0.5056988605646582,0.7201776335907629,1.7980681081135805,0.7920158654916682,2.8696399862998727,0.4301377922075188,1.2274645028562747,0.5047433314000818,0.5186458981638825,2.95711367384887,95.55555555555556,0.04694656835007667,0.05397935918965897
PHASE_135,135.0,6,170306,550.0,97.6,60.0,75.0,15.0,0.0,12,13.834567901234568,16,0.7946252231283848,10.0,1.6049382716049383,0.48685825894921814,0.4200489413578066,0.41549401434187033,0.3429297886764523,0.5382056403190044,0.42295021322963383,1.2456372250231476,0.5757183508781291,0.27277118071120626,3.0113971972891806,95.18518518518519,0.04691300177960385,0.05389496317553645
PHASE_180,180.0,6,170306,550.0,97.6,60.0,75.0,15.0,0.0,12,14.040740740740741,14,0.9632701375568439,10.0,0.8641975308641975,0.6180693546715126,0.5394838443077283,0.5616398851803086,0.32815069451062023,0.8544184226385301,0.39762794241256383,1.1409120484426511,0.5957911404539089,0.5466405584865291,3.0151665148081968,95.42645241038319,0.046975648880326244,0.05422398031456154
PHASE_225,225.0,6,170306,550.0,97.6,60.0,75.0,15.0,0.0,12,13.897530864197531,14,0.9169833961053707,10.0,0.8641975308641975,0.46865722241326896,0.46464681276843306,0.7242724376075159,0.3909765044039267,1.1090857867901496,0.4472176324532095,1.2999103130371232,0.36813775574670493,0.0997460706458602,3.0520005312524203,94.69135802469137,0.047088020159502454,0.054739718190507866
PHASE_270,270.0,6,170306,550.0,97.6,60.0,75.0,15.0,0.0,12,13.801234567901234,14,0.8801711719109564,10.0,0.8641975308641975,0.408420505084587,0.40858763405645054,0.4398598316742508,0.3494843760957205,0.5012291511890719,0.42494767222882124,1.2107617299344473,0.3814711433374028,0.2664478880507944,2.953544449071868,94.93201483312733,0.04714761266420756,0.05499456939612653
PHASE_315,315.0,6,170306,550.0,97.6,60.0,75.0,15.0,0.0,12,13.74074074074074,16,0.7935420183909436,10.0,1.6049382716049383,0.4162295411155775,0.5733763984929913,1.261650141673028,0.5589840171725989,2.0356951263308334,0.4032279206982144,1.2035074430396107,0.5067920243135715,0.39125753546631437,2.802145935528478,94.19753086419753,0.04712305512739122,0.05484437947483903
PHASE_000,0.0,7,170307,550.0,97.6,60.0,75.0,15.0,0.0,12,14.028395061728395,16,0.8251189258477417,10.0,0.7407407407407408,0.520130339108605,0.4337253476768414,0.30925723565579094,0.21165013306596173,0.42530856692036734,0.3896332717357194,1.1324475670599339,0.49136490944004013,0.11090014365525036,3.0308008880526125,94.93827160493828,0.05772959923854885,0.10360883233250223
PHASE_045,45.0,7,170307,550.0,97.6,60.0,75.0,15.0,0.0,12,14.044444444444444,14,0.9178044139159662,10.0,0.9876543209876543,0.30012898131528154,0.5302112560410503,1.0270912254674267,0.44599370140189504,1.6961641594171464,0.4448366736569196,1.3105535877717236,0.42169593861802,0.3112580863673448,3.0173827938876405,95.67901234567901,0.057770426422489946,0.10375407760399898
PHASE_090,90.0,7,170307,550.0,97.6,60.0,75.0,15.0,0.0,12,13.9679012345679,13,0.9737904806479232,10.0,0.8641975308641975,0.20259493808897044,0.4507867795478907,0.639617895238114,0.2939059563369873,0.9653131106404668,0.4304025807656512,1.228234304446543,0.28396849796797935,0.29788200981641655,3.089953610032445,94.81481481481482,0.05775896956893134,0.1037781584536771
PHASE_135,135.0,7,170307,550.0,97.6,60.0,75.0,15.0,0.0,12,13.834567901234568,16,0.7946251937080125,10.0,0.24691358024691357,0.5100802553976241,0.5440581412539192,0.9673695373290578,0.46849250313030816,1.516036361330662,0.4221961549371543,1.2435629042126561,0.40697218028264515,0.2781153117896877,3.14481202226437,94.93827160493828,0.05771213808707404,0.10368083868697268
PHASE_180,180.0,7,170307,550.0,97.6,60.0,75.0,15.0,0.0,12,14.040740740740741,14,0.963270127226838,10.0,0.9876543209876543,0.23842318156357167,0.4819045148918456,0.41072867842989336,0.0832158206719333,0.7403435628176319,0.3940749110858429,1.132417161615233,0.36578533127577617,0.1320568604693001,3.1478417221066195,94.69135802469137,0.0576771441273389,0.10353198902181514
PHASE_225,225.0,7,170307,550.0,97.6,60.0,75.0,15.0,0.0,12,13.897530864197531,14,0.9169833865893189,10.0,0.9876543209876543,0.3241546328609862,0.5906237672880841,0.9295642707424063,0.4121493127453455,1.5245580767764466,0.44701860324596215,1.2994808801819533,0.4069359908952544,0.40234964720972566,3.0746055361928337,95.80246913580247,0.05766343947626743,0.1034002879625484
PHASE_270,270.0,7,170307,550.0,97.6,60.0,75.0,15.0,0.0,12,13.801234567901234,14,0.8801711680830876,10.0,0.3703703703703704,0.582430153515103,0.5586283126984353,1.0028189395237073,0.48510679143899366,1.5765407284470623,0.4247237181551037,1.21021519754071,0.4725470601189011,0.37608312964194934,2.9288061777390055,95.80246913580247,0.057660337612603696,0.10334976184391098
PHASE_315,315.0,7,170307,550.0,97.6,60.0,75.0,15.0,0.0,12,13.74074074074074,16,0.7935419946577473,10.0,0.9876543209876543,0.49519784919419807,0.5489621036513039,0.9218657209976967,0.4835289028937179,1.4393666194429118,0.40261785714189624,1.2022142330989352,0.502377614794608,0.32883907964136316,3.1365995400848785,95.18518518518519,0.05767997138014393,0.10343281120245851
