phase_name,initial_true_anomaly_deg,replicate_index,scenario_seed,altitude_km,inclination_deg,dual_outage_start_min,dual_outage_end_min,dual_outage_duration_min,navigation_estimator_requested_start_min,navigation_estimator_start_min,navigation_estimator_start_index,navigation_estimator_age_at_outage_min,navigation_estimator_active_pre_outage_epochs,navigation_estimator_updates_before_outage,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,pre_outage_satellites,pre_outage_pdop,pre_outage_update_age_s,healthy_false_alarm_rate,pre_outage_rmse_m,mission_rmse_m,outage_rmse_m,outage_start_error_m,outage_end_error_m,outage_start_sigma_m,outage_end_sigma_m,post_recovery_rmse_m,final_error_m,navigation_nis_mean,navigation_nis_coverage_percent,attitude_outage_rmse_deg,attitude_end_outage_deg,experiment_outage_start_min,experiment_outage_end_min,experiment_outage_duration_min,experiment_post_recovery_end_min,experiment_estimator_start_min,fixed_initial_true_anomaly_deg
PHASE_000,0.0,6,170606,550.0,97.6,60.0,65.0,5.0,0.0,0.0,0,60.0,360,359,0.0,12,14.024137931034483,16,0.8251189221775935,10.0,0.9195402298850575,0.3689224672432863,0.5667379445377314,0.6288800508451319,0.5204748055424004,0.7447428086111014,0.38961820028859245,0.5607509728565132,0.5916766984259761,0.21951913842760667,3.030712605836677,95.63218390804597,0.028600844119525827,0.011407841938226521,60.0,65.0,5.0,80.0,0.0,0.0
PHASE_000,0.0,6,170606,550.0,97.6,60.0,70.0,10.0,0.0,0.0,0,60.0,360,359,0.0,12,14.039285714285715,16,0.8251189221775935,10.0,0.8333333333333334,0.3689224672432863,0.5799249808825649,0.7883058199641263,0.5204748055424004,1.0974508183400629,0.38961820028859245,0.8067337524895054,0.3724739400907416,0.4342342657783713,3.0687606528408744,93.80214541120382,0.03269187987982436,0.04725092252171325,60.0,70.0,10.0,85.0,0.0,0.0
PHASE_000,0.0,6,170606,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251189221775935,10.0,0.8641975308641975,0.3689224672432863,0.6170231128894528,1.0158456702439718,0.5204748055424004,1.6217386738068398,0.38961820028859245,1.1325247757421495,0.43083839437372146,0.24835342067505858,3.171786314731209,95.18518518518519,0.03988693352896599,0.04754325607264899,60.0,75.0,15.0,90.0,0.0,0.0
PHASE_000,0.0,6,170606,550.0,97.6,60.0,80.0,20.0,0.0,0.0,0,60.0,360,359,0.0,12,14.037179487179488,16,0.8251189221775935,10.0,0.641025641025641,0.3689224672432863,0.760149002699436,1.326461899462064,0.5204748055424004,2.334775182405279,0.38961820028859245,1.544991314502118,0.7519267583543513,0.23016712947119886,3.213669311431157,95.38461538461539,0.04210304375741089,0.04038450436597956,60.0,80.0,20.0,95.0,0.0,0.0
PHASE_000,0.0,6,170606,550.0,97.6,60.0,90.0,30.0,0.0,0.0,0,60.0,360,359,0.0,12,13.9375,16,0.8251189221775935,10.0,1.1111111111111112,0.3689224672432863,1.1447975915175572,2.2024074548185637,0.5204748055424004,4.280478509072168,0.38961820028859245,2.629552386117002,0.39554370217281626,0.26742552631402006,3.121372123840995,94.44444444444444,0.06603438103188049,0.12327069625782706,60.0,90.0,30.0,105.0,0.0,0.0
PHASE_000,0.0,7,170607,550.0,97.6,60.0,65.0,5.0,0.0,0.0,0,60.0,360,359,0.0,12,14.024137931034483,16,0.8251189289848122,10.0,0.9195402298850575,0.29342803646721805,0.40104335033617144,0.39882345993116536,0.2856857970552679,0.5150191583641343,0.38955875032103976,0.5606052202316337,0.46001191826353816,0.10378778373734665,3.1140583537871,94.25287356321839,0.0449477549811339,0.025874774403935125,60.0,65.0,5.0,80.0,0.0,0.0
PHASE_000,0.0,7,170607,550.0,97.6,60.0,70.0,10.0,0.0,0.0,0,60.0,360,359,0.0,12,14.039285714285715,16,0.8251189289848122,10.0,1.0714285714285714,0.29342803646721805,0.41752439334877645,0.5642875055916328,0.2856857970552679,0.8599702826561079,0.38955875032103976,0.8064578364305715,0.4259392806020677,0.23015058833694857,3.012569946322443,94.4047619047619,0.038318768131323525,0.01416304472271074,60.0,70.0,10.0,85.0,0.0,0.0
PHASE_000,0.0,7,170607,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251189289848122,10.0,1.1111111111111112,0.29342803646721805,0.45709287801091814,0.7872679395352458,0.2856857970552679,1.34494600971124,0.38955875032103976,1.1320895625126381,0.43618540292548125,0.1345036411836436,3.004139741287705,95.18518518518519,0.05217928291300719,0.09962160380976016,60.0,75.0,15.0,90.0,0.0,0.0
PHASE_000,0.0,7,170607,550.0,97.6,60.0,80.0,20.0,0.0,0.0,0,60.0,360,359,0.0,12,14.037179487179488,16,0.8251189289848122,10.0,1.282051282051282,0.29342803646721805,0.5751309031839126,1.0814869168312975,0.2856857970552679,1.996121478864682,0.38955875032103976,1.5443732137044575,0.5687124792540207,0.14082739058835111,3.054542714793208,94.87179487179486,0.06575666439227681,0.09784751556742229,60.0,80.0,20.0,95.0,0.0,0.0
PHASE_000,0.0,7,170607,550.0,97.6,60.0,90.0,30.0,0.0,0.0,0,60.0,360,359,0.0,12,13.9375,16,0.8251189289848122,10.0,1.3888888888888888,0.29342803646721805,0.9525608145795254,1.8771208259466605,0.2856857970552679,3.7081739137709193,0.38955875032103976,2.6283857119085408,0.4684553209226417,0.36923864952391333,3.031077547810859,95.13888888888889,0.06814019588931874,0.03216923362303783,60.0,90.0,30.0,105.0,0.0,0.0
